Code_Name,EN_Name,Rarity,E2_Mat_1,E2_Mat_1_Qty,E2_Mat_2,E2_Mat_2_Qty,S1M1_Mat_1,S1M1_Mat_1_Qty,S1M1_Mat_2,S1M1_Mat_2_Qty,S1M2_Mat_1,S1M2_Mat_1_Qty,S1M2_Mat_2,S1M2_Mat_2_Qty,S1M3_Mat_1,S1M3_Mat_1_Qty,S1M3_Mat_2,S1M3_Mat_2_Qty,S2M1_Mat_1,S2M1_Mat_1_Qty,S2M1_Mat_2,S2M1_Mat_2_Qty,S2M2_Mat_1,S2M2_Mat_1_Qty,S2M2_Mat_2,S2M2_Mat_2_Qty,S2M3_Mat_1,S2M3_Mat_1_Qty,S2M3_Mat_2,S2M3_Mat_2_Qty,S3M1_Mat_1,S3M1_Mat_1_Qty,S3M1_Mat_2,S3M1_Mat_2_Qty,S3M2_Mat_1,S3M2_Mat_1_Qty,S3M2_Mat_2,S3M2_Mat_2_Qty,S3M3_Mat_1,S3M3_Mat_1_Qty,S3M3_Mat_2,S3M3_Mat_2_Qty
char_198_blackd,Courier,4,30063,11,30053,10,30014,1,30093,4,30034,2,30014,3,30135,2,30054,2,30024,1,30103,3,30044,2,30024,2,30115,2,30094,2,,,,,,,,,,,,
char_149_scave,Scavenger,4,30073,20,30063,6,30024,1,30103,3,30044,2,30024,2,30115,2,30094,2,30034,1,30013,5,30054,2,30034,2,30125,2,30084,2,,,,,,,,,,,,
char_290_vigna,Vigna,4,30043,16,30013,11,30094,1,30073,4,30014,2,30094,3,30125,2,30014,2,30104,1,30083,3,30024,2,30104,2,30135,2,30034,2,,,,,,,,,,,,
char_151_myrtle,Myrtle,4,30093,12,30063,8,30044,1,30023,4,30064,1,30044,2,30115,2,30094,2,30054,1,30033,4,30074,2,30054,2,30125,2,30084,2,,,,,,,,,,,,
char_452_bstalk,Beanstalk,4,31013,13,30083,10,30094,1,30073,4,31014,2,30014,3,30135,2,31014,2,30014,1,30093,4,31024,2,30104,2,30145,2,30014,2,,,,,,,,,,,,
char_4208_wintim,Снегурочка,4,31083,13,30103,6,31064,1,30083,4,31084,2,31024,2,30135,2,31034,2,30044,1,31073,3,31044,2,30054,2,30155,2,31064,1,,,,,,,,,,,,
char_130_doberm,Dobermann,4,30083,15,30073,11,30034,1,30013,5,30054,2,30034,2,30125,2,30084,2,30044,1,30023,4,30064,1,30044,2,30135,2,30074,2,,,,,,,,,,,,
char_289_gyuki,Matoimaru,4,30053,16,30023,10,30104,1,30083,3,30024,2,30104,2,30135,2,30034,2,30014,1,30093,4,30034,2,30014,3,30115,2,30064,2,,,,,,,,,,,,
char_159_peacok,Conviction,4,30063,11,31013,9,30084,1,30063,3,30054,2,31014,2,30125,2,30104,2,30094,1,30073,4,31024,2,30104,2,30125,2,30014,2,,,,,,,,,,,,
char_193_frostl,Frostleaf,4,30093,15,30083,7,30044,1,30023,4,30064,1,30044,2,30135,2,30074,2,30054,1,30033,4,30074,2,30054,2,30115,2,30104,2,,,,,,,,,,,,
char_127_estell,Estelle,4,30103,12,30093,8,30054,1,30033,4,30074,2,30054,2,30115,2,30104,2,30064,1,30043,2,30084,2,30064,2,30125,2,30024,2,,,,,,,,,,,,
char_185_frncat,Mousse,4,30013,20,30093,8,30064,1,30043,2,30084,2,30064,2,30125,2,30024,2,30074,1,30053,4,30094,2,30074,3,30135,2,30014,2,,,,,,,,,,,,
char_301_cutter,Cutter,4,31013,12,30083,11,30054,1,31013,3,30014,2,30094,3,30115,2,31024,2,31024,1,30103,3,30104,2,30084,2,30135,2,31014,2,,,,,,,,,,,,
char_337_utage,Utage,4,30053,14,30013,14,30104,1,30083,3,30044,2,31024,2,30115,2,30084,2,31024,1,30103,3,30054,2,31014,2,30125,2,30094,2,,,,,,,,,,,,
char_271_spikes,Arene,4,30013,21,30063,7,30074,1,30053,4,31024,2,30104,2,30135,2,31014,2,30054,1,31013,3,30014,2,30094,3,30115,2,31014,2,,,,,,,,,,,,
char_4067_lolxh,Luo Xiaohei,4,30083,15,30043,9,31014,1,30013,6,30104,2,30084,2,30135,2,31014,2,31024,1,31053,3,31034,2,31014,2,30145,2,30014,2,,,,,,,,,,,,
char_4063_quartz,Quartz,4,30043,15,31023,9,31064,1,31013,3,30094,2,30074,3,30155,2,30064,1,30094,1,31043,3,30084,2,31054,2,30115,2,31014,2,,,,,,,,,,,,
char_491_humus,Humus,4,30103,11,30023,12,31034,1,30083,4,31054,2,30044,2,30125,2,30104,2,31014,1,31053,4,31044,2,30054,2,30135,2,31034,2,,,,,,,,,,,,
char_445_wscoot,Windscoot,4,30073,17,31063,8,30014,1,30073,5,30104,2,31074,2,30165,2,31014,1,31024,1,31083,3,31034,2,30094,2,30115,2,31094,2,,,,,,,,,,,,
char_237_gravel,Gravel,4,30033,18,30013,13,30084,1,30063,3,30104,2,30084,2,30115,2,30074,2,30094,1,30073,4,30014,2,30094,3,30125,2,30034,2,,,,,,,,,,,,
char_272_strong,Jaye,4,30093,14,30053,8,30104,1,30083,3,30064,1,30044,2,30115,2,31014,2,30084,1,30063,3,30044,2,31024,2,30115,2,30064,2,,,,,,,,,,,,
char_236_rope,Rope,4,30043,15,30023,11,30094,1,30073,4,30014,2,30094,3,30125,2,30034,2,30104,1,30083,3,30024,2,30104,2,30135,2,30044,2,,,,,,,,,,,,
char_117_myrrh,Myrrh,4,30053,14,30033,12,30104,1,30083,3,30024,2,30104,2,30135,2,30044,2,30014,1,30093,4,30034,2,30014,3,30115,2,30084,2,,,,,,,,,,,,
char_187_ccheal,Gavial,4,30063,13,30043,6,30014,1,30093,4,30034,2,30014,3,30115,2,30084,2,30024,1,30103,3,30044,2,30024,2,30125,2,30094,2,,,,,,,,,,,,
char_298_susuro,Sussurro,4,30103,10,30073,13,30064,1,30043,2,30084,2,30064,2,30135,2,30074,2,30074,1,30053,4,30094,2,30074,3,30115,2,30104,2,,,,,,,,,,,,
char_181_flower,Perfumer,4,30073,19,30053,8,30024,1,30103,3,30044,2,30024,2,30125,2,30094,2,30034,1,30013,5,30054,2,30034,2,30135,2,30064,2,,,,,,,,,,,,
char_385_finlpp,Purestream,4,30063,11,31013,9,31014,1,30013,6,30094,2,30074,3,30135,2,30064,2,30044,1,31023,3,30104,2,30084,2,30125,2,30054,2,,,,,,,,,,,,
char_4041_chnut,Chestnut,4,30073,20,31023,8,31044,1,30103,3,30084,2,31054,2,30125,2,31044,2,30014,1,30093,4,30094,2,30074,3,30115,2,31024,2,,,,,,,,,,,,
char_199_yak,Matterhorn,4,30083,14,30063,7,30034,1,30013,5,30054,2,30034,2,30135,2,30064,2,30044,1,30023,4,30064,1,30044,2,30115,2,30034,2,,,,,,,,,,,,
char_150_snakek,Cuora,4,30093,14,30073,10,30044,1,30023,4,30064,1,30044,2,30115,2,30034,2,30054,1,30033,4,30074,2,30054,2,30125,2,30054,2,,,,,,,,,,,,
char_381_bubble,Bubble,4,31013,16,30073,8,30084,1,30063,3,30044,2,31024,2,30125,2,30104,2,30064,1,30043,2,31014,2,30014,3,30135,2,31024,2,,,,,,,,,,,,
char_4130_luton,Lutonada,4,31043,14,30063,7,30094,1,31033,4,30104,2,31084,2,30115,2,31024,2,31074,1,30103,3,30064,2,30104,1,30135,2,31064,2,,,,,,,,,,,,
char_196_sunbr,Гум,4,30103,13,30083,7,30054,1,30033,4,30074,2,30054,2,30125,2,30054,2,30064,1,30043,2,30084,2,30064,2,30135,2,30024,2,,,,,,,,,,,,
char_260_durnar,Dur-nar,4,30013,19,30103,8,30054,1,30033,4,30074,2,30054,2,30125,2,30084,2,30064,1,30043,2,30084,2,30064,2,30135,2,30074,2,,,,,,,,,,,,
char_110_deepcl,Deepcolor,4,30013,20,30083,9,30064,1,30043,2,30084,2,30064,2,30135,2,30024,2,30074,1,30053,4,30094,2,30074,3,30125,2,30104,2,,,,,,,,,,,,
char_183_skgoat,Earthspirit,4,30023,20,30093,7,30074,1,30053,4,30094,2,30074,3,30125,2,30104,2,30084,1,30063,3,30104,2,30084,2,30115,2,30024,2,,,,,,,,,,,,
char_258_podego,Podenco,4,31023,19,30093,5,30064,1,30043,2,31014,2,30014,3,30125,2,31024,2,30044,1,31023,3,30054,2,31014,2,30135,2,31024,2,,,,,,,,,,,,
char_484_robrta,Roberta,4,31043,14,30063,7,30094,1,30073,4,30044,2,31024,2,30125,2,30084,2,30104,1,30083,3,30054,2,31044,2,30115,2,30074,2,,,,,,,,,,,,
char_355_ethan,Ethan,4,30023,17,30013,14,30074,1,30053,4,30094,2,30074,3,30115,2,30104,2,30084,1,30063,3,30104,2,30084,2,30125,2,30024,2,,,,,,,,,,,,
char_277_sqrrel,Shaw,4,30063,12,30033,11,30014,1,30093,4,30034,2,30014,3,30115,2,30064,2,30024,1,30103,3,30044,2,30024,2,30125,2,30044,2,,,,,,,,,,,,
char_4107_vrdant,Verdant,4,30043,15,31073,9,31034,1,30033,4,31054,2,31024,2,30125,2,30094,2,31044,1,31083,3,31084,2,31014,3,30135,2,31024,2,,,,,,,,,,,,
char_4165_ctrail,Contrail,4,30063,13,30033,8,31054,1,30063,3,31074,2,31064,3,30115,2,31084,2,31014,1,30073,5,30094,2,30044,2,30135,2,31044,2,,,,,,,,,,,,
char_128_plosis,Ptilopsis,5,30014,9,30093,10,30064,2,30043,3,30084,3,30064,4,30115,4,30024,4,30074,3,30053,5,30094,3,30074,6,30125,4,30014,4,,,,,,,,,,,,
char_275_breeze,Breeze,5,30064,5,30073,18,30104,3,30083,2,30024,3,30104,5,30115,4,30074,5,30014,3,30093,4,30034,3,30014,6,30125,4,30034,4,,,,,,,,,,,,
char_4163_rosesa,Rose Salt,5,31034,7,31053,11,31054,3,30013,5,31064,3,31074,6,30155,4,30094,1,31014,3,30093,4,30044,3,30094,5,30145,4,30104,1,,,,,,,,,,,,
char_115_headbr,Зима,5,30024,7,30103,11,30074,3,30053,5,30094,3,30074,6,30125,4,30014,4,30084,3,30063,2,30104,3,30084,5,30135,4,30034,4,,,,,,,,,,,,
char_102_texas,Texas,5,30034,8,30013,16,30084,3,30063,2,30104,3,30084,5,30135,4,30034,4,30094,3,30073,4,30014,3,30094,6,30115,4,30064,3,,,,,,,,,,,,
char_349_chiave,Chiave,5,30084,7,30093,13,31014,3,30013,6,30084,3,30064,4,30135,4,30044,3,30044,3,31023,1,30104,3,30084,5,30125,4,30094,4,,,,,,,,,,,,
char_488_buildr,Poncirus,5,31024,8,30013,18,30014,3,30063,4,31014,3,30054,5,30115,4,31034,3,31014,3,31043,4,30044,3,31054,5,30135,4,30014,5,,,,,,,,,,,,
char_4023_rfalcn,Kestrel,5,31044,7,30033,18,31074,3,31083,2,30014,3,30054,5,30135,4,31014,4,30054,3,30063,2,31044,3,31034,5,30145,4,30014,3,,,,,,,,,,,,
char_4199_makiri,Matsukiri,5,31064,7,31023,17,31074,3,31093,3,30044,3,31014,5,30115,4,30014,5,31094,3,31053,3,31054,3,30014,7,30135,4,31024,4,,,,,,,,,,,,
char_261_sddrag,Reed,5,30014,9,30083,12,30074,3,30053,5,30094,3,30074,6,30125,4,30054,3,30084,3,30063,2,30104,3,30084,5,30135,4,30024,4,,,,,,,,,,,,
char_496_wildmn,Wild Mane,5,31054,8,30053,11,31044,3,31023,4,30084,3,31054,5,30115,4,31024,4,30014,3,30093,4,30094,3,30074,6,30135,4,31014,4,,,,,,,,,,,,
char_1036_fang2,Fang the Fire-sharpened,5,30014,6,30103,12,30064,2,31053,3,30044,3,31014,5,30125,4,31084,4,31064,3,31013,2,31054,3,31044,6,30145,4,30084,3,,,,,,,,,,,,
char_401_elysm,Elysium,5,31024,7,30053,16,31014,3,30013,6,31024,3,30104,5,30135,4,30054,4,30064,2,30043,3,30054,3,31014,6,30115,4,30094,4,,,,,,,,,,,,
char_4119_wanqin,Wanqing,5,31054,9,31013,9,31054,3,30083,4,30104,3,31024,5,30115,4,31044,4,30104,3,31023,2,31014,3,31074,6,30125,4,30104,3,,,,,,,,,,,,
char_476_blkngt,Blacknight,5,31024,8,30073,15,30054,3,31013,2,31044,3,31014,6,30135,4,30054,4,30064,2,30043,3,30014,2,30094,7,30145,4,30094,3,,,,,,,,,,,,
char_4147_mitm,Mitm,5,31034,6,30043,12,30044,3,31013,1,31034,3,31044,5,30125,4,30064,3,30064,2,30073,4,31064,3,31074,6,30115,4,30094,4,,,,,,,,,,,,
char_497_ctable,Cantabile,5,31024,7,30073,18,30054,3,31013,2,31044,3,31014,6,30145,4,30094,3,30064,2,30043,3,30014,2,30094,7,30125,4,30084,3,,,,,,,,,,,,
char_4017_puzzle,Puzzle,5,30064,5,31043,13,30014,3,31063,5,30074,3,31034,5,30115,4,30104,4,31014,3,31053,4,30104,3,31024,5,30125,4,30094,4,,,,,,,,,,,,
char_4144_chilc,Chilchuck,5,31044,9,30103,7,30094,3,31043,3,31044,3,30014,7,30145,4,31024,1,30104,3,30023,3,30064,3,31024,4,30115,4,30054,4,,,,,,,,,,,,
char_4052_surfer,Surfer,5,30044,6,30063,11,31064,3,31023,4,31024,3,31084,5,30115,4,31044,4,30044,3,30033,1,30054,3,31044,5,30135,4,31074,4,,,,,,,,,,,,
char_308_swire,Swire,5,30024,7,30033,17,30084,3,30063,2,30104,3,30084,5,30125,4,30024,4,30094,3,30073,4,30014,3,30094,6,30135,4,30014,5,,,,,,,,,,,,
char_265_sophia,Whislash,5,30054,7,31013,12,30104,3,30083,2,30044,3,31024,5,30135,4,30064,3,31014,3,30013,6,30064,2,30044,5,30115,4,30084,4,,,,,,,,,,,,
char_4106_bryota,Bryophyta,5,31044,7,30053,15,31034,3,31053,1,30094,3,31014,6,30145,4,30064,2,31054,3,30053,4,30074,3,31034,5,30155,4,30104,3,,,,,,,,,,,,
char_4125_rdoc,Doc,5,31014,8,30063,11,31084,3,30053,3,31064,3,31084,5,30125,4,30094,4,31054,3,30093,3,30064,3,31064,4,30135,4,31064,4,,,,,,,,,,,,
char_106_franka,Franka,5,30044,6,30023,18,30094,3,30073,4,30014,3,30094,6,30115,4,30064,3,30104,3,30083,2,30024,3,30104,5,30125,4,30044,3,,,,,,,,,,,,
char_131_flameb,Flamebringer,5,30074,9,30083,13,30024,3,30103,3,30044,3,30024,5,30135,4,30044,3,30034,3,30013,4,30054,3,30034,5,30115,4,30084,4,,,,,,,,,,,,
char_154_morgan,Morgan,5,31054,8,31063,11,30064,2,30073,4,30054,3,30074,6,30145,4,30014,3,31044,3,30063,3,31054,3,31014,6,30155,4,31034,2,,,,,,,,,,,,
char_4142_laios,Laios,5,30044,7,31063,10,31054,3,31063,3,30084,3,30064,4,30125,4,31014,4,31074,3,30103,2,31084,3,31014,6,30155,4,30014,2,,,,,,,,,,,,
char_155_tiger,Indra,5,30054,7,30033,16,30104,3,30083,2,30024,3,30104,5,30125,4,30044,3,30014,3,30093,4,30034,3,30014,6,30135,4,30054,4,,,,,,,,,,,,
char_415_flint,Flint,5,30014,8,30093,15,30014,3,30093,4,30054,3,31014,6,30125,4,30054,3,31024,3,30103,3,30074,3,30054,5,30125,4,30094,4,,,,,,,,,,,,
char_157_dagda,Dagda,5,31024,7,30013,21,31024,3,31063,3,31044,3,30064,4,30125,4,30044,3,30064,2,30033,4,31024,3,31014,6,30155,4,30014,3,,,,,,,,,,,,
char_140_whitew,Lappland,5,30064,6,30043,10,30014,3,30093,4,30034,3,30014,6,30135,4,30054,4,30024,3,30103,3,30044,3,30024,5,30115,4,30094,4,,,,,,,,,,,,
char_294_ayer,Ayerscarpe,5,30044,6,31013,12,30084,3,30063,2,30054,3,31014,6,30115,4,30074,5,30104,3,30083,2,30074,3,30054,5,30115,4,30084,4,,,,,,,,,,,,
char_194_leto,Лето,5,30044,7,31023,10,31054,3,31023,4,30104,3,30084,5,30115,4,30074,5,30084,3,30053,3,31054,3,30074,6,30135,4,30014,5,,,,,,,,,,,,
char_4083_chimes,Wind Chimes,5,31054,7,31023,16,31044,3,30013,5,31064,3,30054,5,30125,4,30044,3,31024,3,30083,3,31034,3,31044,5,30135,4,31014,4,,,,,,,,,,,,
char_252_bibeak,Bibeak,5,30084,8,30103,8,31014,3,30013,6,30084,3,30064,4,30125,4,31014,4,30044,3,31023,1,30014,3,30094,6,30135,4,30054,4,,,,,,,,,,,,
char_459_tachak,Tachanka,5,30104,7,31013,12,31014,3,30013,6,30044,3,31024,5,30135,4,30014,5,31034,3,31013,1,30054,3,31014,6,30145,4,30074,3,,,,,,,,,,,,
char_143_ghost,Specter,5,30074,8,30053,15,30024,3,30103,3,30044,3,30024,5,30115,4,30094,4,30034,3,30013,4,30054,3,30034,5,30125,4,30084,3,,,,,,,,,,,,
char_356_broca,Broca,5,30024,7,30093,13,30094,3,30073,4,30014,3,30094,6,30125,4,30104,3,30104,3,30083,2,30024,3,30104,5,30115,4,30024,4,,,,,,,,,,,,
char_4126_fuze,Fuze,5,31024,8,30023,16,31044,3,30103,3,31044,3,30104,5,30145,4,30064,2,31064,3,30073,3,31074,3,30074,6,30155,4,31074,3,,,,,,,,,,,,
char_4166_varkis,Varkáris,5,31024,7,31053,14,31034,3,31073,1,30014,3,30054,5,30115,4,31084,4,31064,3,30043,4,31024,3,31084,5,30135,4,31044,4,,,,,,,,,,,,
char_274_astesi,Astesia,5,30034,7,30043,14,30034,3,30013,4,30054,3,30034,5,30125,4,30084,3,30044,3,30023,1,30064,2,30044,5,30135,4,30074,5,,,,,,,,,,,,
char_333_sidero,Sideroca,5,31014,9,30043,13,31024,3,30103,3,30094,3,30074,6,30115,4,31014,5,30054,3,31013,2,30104,3,30084,5,30115,4,31024,4,,,,,,,,,,,,
char_475_akafyu,Akafuyu,5,31014,8,30053,15,30014,3,30093,4,31024,3,30104,5,30115,4,31014,5,31014,3,30013,6,30044,3,31024,5,30125,4,31034,3,,,,,,,,,,,,
char_1030_noirc2,Rathalos S Noir Corne,5,31064,8,31033,11,31054,3,30033,4,31024,3,30044,5,30145,4,31064,3,30084,3,30053,3,30014,3,30074,6,30155,4,30084,3,,,,,,,,,,,,
char_421_crow,La Pluma,5,30054,7,30083,13,30054,3,31013,2,30094,3,30074,6,30115,4,30044,4,30064,2,30043,3,30104,3,30084,5,30135,4,30054,4,,,,,,,,,,,,
char_4066_highmo,Highmore,5,30014,9,31043,13,30094,3,30073,4,30044,3,31024,5,30145,4,31044,3,30104,3,30083,2,30054,3,31044,5,30125,4,31054,4,,,,,,,,,,,,
char_486_takila,Tequila,5,30064,5,30093,11,30074,3,30053,5,31034,3,31014,5,30145,4,30094,3,30084,3,30063,2,30014,3,30094,6,30125,4,30084,3,,,,,,,,,,,,
char_4131_odda,Odda,5,30084,7,31073,13,30014,3,31033,6,31024,3,30014,7,30145,4,30044,2,30044,3,31043,1,30074,3,30094,6,30155,4,31034,2,,,,,,,,,,,,
char_4187_graceb,Gracebearer,5,31074,7,30083,14,31074,3,30093,3,31084,3,31014,6,30115,4,31094,4,30094,3,31023,3,31044,3,31094,6,30135,4,30104,4,,,,,,,,,,,,
char_4185_amoris,Yūtenji Nyamu,5,31044,7,30103,12,31054,3,31073,3,31084,3,31074,5,30135,4,31094,4,31014,3,30043,4,31044,3,31094,6,30155,4,30104,1,,,,,,,,,,,,
char_394_hadiya,Hadiya,5,31094,8,30053,14,30104,3,31033,2,31014,3,31024,6,30135,4,30054,4,31034,3,30053,1,30014,3,30054,5,30155,4,31084,1,,,,,,,,,,,,
char_1049_catap2,Zinogre S Catapult,5,31094,8,30083,12,31024,3,31013,3,31094,3,31034,5,30165,4,31044,1,30054,3,31093,2,31024,3,31064,6,30115,4,31074,4,,,,,,,,,,,,
char_129_bluep,Blue Poison,5,30084,8,30063,8,30044,3,30023,1,30064,2,30044,5,30135,4,30074,5,30054,3,30033,3,30074,3,30054,5,30115,4,30104,4,,,,,,,,,,,,
char_204_platnm,Platinum,5,30094,8,30073,15,30054,3,30033,3,30074,3,30054,5,30115,4,30104,4,30064,2,30043,3,30084,3,30064,4,30125,4,30024,4,,,,,,,,,,,,
char_367_swllow,GreyThroat,5,30044,7,30063,9,30064,2,30043,3,30084,3,30064,4,30125,4,30014,4,30074,3,30053,5,30094,3,30074,6,30115,4,30064,3,,,,,,,,,,,,
char_365_aprl,April,5,31014,9,30103,9,30074,3,30053,5,30014,3,30094,6,30135,4,30044,3,30094,3,30073,4,31024,3,30104,5,30135,4,30014,5,,,,,,,,,,,,
char_1021_kroos2,Kroos the Keen Glint,5,31034,7,30043,10,31024,3,30103,3,31034,3,31014,5,30125,4,30064,3,30044,3,31043,1,31054,3,30064,4,30115,4,30044,4,,,,,,,,,,,,
char_498_inside,Insider,5,31014,9,30023,15,30044,3,31033,1,30064,3,31044,4,30155,4,30094,3,31044,3,30103,3,31034,3,30014,6,30115,4,30074,5,,,,,,,,,,,,
char_219_meteo,Meteorite,5,30104,7,30083,14,30064,2,30043,3,30084,3,30064,4,30125,4,30024,4,30074,3,30053,5,30094,3,30074,6,30135,4,30014,5,,,,,,,,,,,,
char_379_sesa,Sesa,5,30094,8,30013,18,30054,3,31013,2,30104,3,30084,5,30135,4,31024,4,30014,3,30093,4,30094,3,30074,6,30125,4,30084,3,,,,,,,,,,,,
char_4078_bdhkgt,Jieyun,5,30054,7,30103,11,31034,3,31043,1,31044,3,30014,7,30155,4,30054,3,30044,3,31033,1,30064,3,30094,4,30115,4,31024,4,,,,,,,,,,,,
char_279_excu,Executor,5,30084,8,30093,9,30044,3,30023,1,30064,2,30044,5,30125,4,30094,4,30054,3,30033,3,30074,3,30054,5,30135,4,30064,3,,,,,,,,,,,,
char_346_aosta,Aosta,5,30044,7,31023,10,30094,3,30073,4,31024,3,30104,5,30125,4,30094,4,30014,3,30093,4,30054,3,31014,6,30135,4,30044,3,,,,,,,,,,,,
char_4203_kichi,Kichisei,5,30054,6,30093,14,31084,3,30053,2,31034,3,30044,4,30145,4,31054,1,31044,3,31013,3,31064,3,31054,6,30165,4,31014,1,,,,,,,,,,,,
char_4213_skybx,Skybox,5,30104,7,31093,13,31014,3,30073,5,31044,3,31094,6,30155,4,30104,1,30014,3,31083,4,31074,3,30104,5,30145,4,31034,1,,,,,,,,,,,,
char_002_amiya,Amiya,5,30014,10,30073,10,30074,3,30053,5,30094,3,30074,6,30135,4,30014,5,30084,3,30063,2,30104,3,30084,5,30115,4,30074,5,30094,3,30073,4,30014,3,30094,6,30125,4,30034,4
char_405_absin,Absinthe,5,30014,10,31023,10,30044,3,31023,1,30014,3,30094,6,30125,4,30084,3,30064,2,30043,3,30074,3,30054,5,30115,4,30104,4,,,,,,,,,,,,
char_411_tomimi,Tomimi,5,30104,8,30013,14,31014,3,30013,6,30084,3,30064,4,30125,4,30104,3,30044,3,31023,1,30064,2,30044,5,30135,4,30064,3,,,,,,,,,,,,
char_466_qanik,Qanipalaat,5,30044,7,30083,12,31034,3,30063,1,30014,3,31044,5,30115,4,30094,4,30074,3,31023,5,30054,3,31054,5,30135,4,30064,3,,,,,,,,,,,,
char_166_skfire,Skyfire,5,30034,7,30093,13,30094,3,30073,4,30014,3,30094,6,30125,4,30034,4,30104,3,30083,2,30024,3,30104,5,30135,4,30044,3,,,,,,,,,,,,
char_306_leizi,Leizi,5,30104,7,31013,13,30064,2,30043,3,30064,2,30044,5,30125,4,30044,3,30074,3,30053,5,30074,3,30054,5,30115,4,30104,4,,,,,,,,,,,,
