PoolID,PoolType,openTime,closeTime,new,dateAdded
5_3_2,NORM,3/5/2021,3/19/2021,,8/23/2026
5_3_3,NORM,3/19/2021,4/2/2021,,8/23/2026
6_0_1,NORM,6/26/2020,7/10/2020,,8/23/2026
6_0_2,NORM,7/1/2020,7/14/2020,,8/23/2026
6_0_3,NORM,7/10/2020,7/24/2020,,8/23/2026
6_0_4,NORM,7/16/2020,7/29/2020,,8/23/2026
6_0_5,NORM,7/24/2020,8/7/2020,,8/23/2026
6_0_6,NORM,7/30/2020,8/12/2020,,8/23/2026
6_0_7,NORM,8/7/2020,8/21/2020,,8/23/2026
6_0_8,NORM,8/21/2020,9/4/2020,,8/23/2026
6_1_1,NORM,3/26/2021,4/8/2021,,8/23/2026
6_1_2,NORM,4/2/2021,4/16/2021,,8/23/2026
6_2_1,NORM,4/9/2021,4/22/2021,,8/23/2026
6_2_2,NORM,4/16/2021,4/30/2021,,8/23/2026
6_2_3,NORM,4/30/2021,5/14/2021,,8/23/2026
7_0_1,NORM,8/27/2020,9/9/2020,,8/23/2026
7_0_2,NORM,9/4/2020,9/18/2020,,8/23/2026
7_1_1,LIMITED,5/1/2021,5/14/2021,,8/23/2026
7_1_2,NORM,5/14/2021,5/28/2021,,8/23/2026
7_2_1,NORM,5/15/2021,5/28/2021,,8/23/2026
7_2_2,NORM,5/28/2021,6/11/2021,,8/23/2026
7_3_1,NORM,5/29/2021,6/11/2021,,8/23/2026
7_3_2,NORM,6/11/2021,6/25/2021,,8/23/2026
8_0_1,NORM,9/11/2020,9/24/2020,,8/23/2026
8_0_2,NORM,9/18/2020,10/2/2020,,8/23/2026
8_1_1,NORM,6/23/2021,7/6/2021,,8/23/2026
8_1_2,NORM,6/25/2021,7/9/2021,,8/23/2026
8_2_1,NORM,7/7/2021,7/20/2021,,8/23/2026
8_2_2,NORM,7/9/2021,7/23/2021,,8/23/2026
8_3_1,LIMITED,7/14/2021,7/27/2021,,8/23/2026
8_3_2,NORM,7/23/2021,8/6/2021,,8/23/2026
9_1_1,LIMITED,7/31/2021,8/13/2021,,8/23/2026
9_1_2,NORM,8/6/2021,8/20/2021,,8/23/2026
9_2_1,LINKAGE,8/19/2021,9/1/2021,,8/23/2026
9_2_2,NORM,8/20/2021,9/3/2021,,8/23/2026
9_2_3,NORM,9/3/2021,9/17/2021,,8/23/2026
9_3_1,NORM,9/8/2021,9/21/2021,,8/23/2026
9_3_2,NORM,9/17/2021,10/1/2021,,8/23/2026
10_1_1,NORM,10/1/2021,10/14/2021,,8/23/2026
10_1_2,NORM,10/1/2021,10/15/2021,,8/23/2026
10_1_3,NORM,10/15/2021,10/29/2021,,8/23/2026
10_2_1,LIMITED,10/22/2021,11/4/2021,,8/23/2026
10_2_2,NORM,10/29/2021,11/12/2021,,8/23/2026
10_3_1,NORM,11/12/2021,11/25/2021,,8/23/2026
10_3_2,NORM,11/12/2021,11/26/2021,,8/23/2026
10_3_3,NORM,11/26/2021,12/10/2021,,8/23/2026
11_1_1,NORM,12/10/2021,12/23/2021,,8/23/2026
11_1_2,NORM,12/10/2021,12/24/2021,,8/23/2026
11_2_1,NORM,12/18/2021,12/31/2021,,8/23/2026
11_2_2,NORM,12/24/2021,1/7/2022,,8/23/2026
11_3_1,NORM,12/30/2021,1/12/2022,,8/23/2026
11_3_2,NORM,1/7/2022,1/21/2022,,8/23/2026
12_1_1,LIMITED,1/15/2022,1/28/2022,,8/23/2026
12_1_2,NORM,1/21/2022,2/4/2022,,8/23/2026
12_1_3,NORM,2/4/2022,2/18/2022,,8/23/2026
12_1_4,NORM,2/5/2022,2/18/2022,,8/23/2026
12_2_1,NORM,2/18/2022,3/4/2022,,8/23/2026
12_3_1,NORM,3/2/2022,3/15/2022,,8/23/2026
12_3_2,NORM,3/4/2022,3/18/2022,,8/23/2026
13_1_1,NORM,3/18/2022,3/31/2022,,8/23/2026
13_1_2,NORM,3/18/2022,4/1/2022,,8/23/2026
13_2_1,NORM,4/1/2022,4/14/2022,,8/23/2026
13_2_2,NORM,4/1/2022,4/15/2022,,8/23/2026
13_3_1,NORM,4/15/2022,4/28/2022,,8/23/2026
13_3_2,NORM,4/15/2022,4/29/2022,,8/23/2026
14_1_1,LIMITED,4/29/2022,5/12/2022,,8/23/2026
14_1_2,NORM,4/29/2022,5/13/2022,,8/23/2026
14_1_3,NORM,5/13/2022,5/27/2022,,8/23/2026
14_2_1,NORM,5/27/2022,6/9/2022,,8/23/2026
14_2_2,NORM,5/27/2022,6/10/2022,,8/23/2026
14_3_1,NORM,6/10/2022,6/23/2022,,8/23/2026
14_3_2,NORM,6/10/2022,6/24/2022,,8/23/2026
14_3_3,NORM,6/24/2022,7/8/2022,,8/23/2026
15_1_1,NORM,7/1/2022,7/14/2022,,8/23/2026
15_1_2,NORM,7/8/2022,7/22/2022,,8/23/2026
15_2_1,ATTAIN,7/15/2022,7/29/2022,,8/23/2026
15_2_2,NORM,7/22/2022,8/5/2022,,8/23/2026
15_3_1,LIMITED,7/30/2022,8/12/2022,,8/23/2026
15_3_2,NORM,8/5/2022,8/19/2022,,8/23/2026
16_1_1,NORM,8/19/2022,9/1/2022,,8/23/2026
16_1_2,NORM,8/19/2022,9/2/2022,,8/23/2026
16_2_1,NORM,9/2/2022,9/16/2022,,8/23/2026
16_2_2,NORM,9/16/2022,9/30/2022,,8/23/2026
16_3_1,NORM,9/17/2022,9/30/2022,,8/23/2026
16_3_2,NORM,9/30/2022,10/14/2022,,8/23/2026
16_3_3,NORM,10/5/2022,10/18/2022,,8/23/2026
16_3_4,NORM,10/14/2022,10/28/2022,,8/23/2026
17_1_1,NORM,10/20/2022,11/2/2022,,8/23/2026
17_1_2,NORM,10/28/2022,11/11/2022,,8/23/2026
17_2_1,LIMITED,11/4/2022,11/17/2022,,8/23/2026
17_2_2,NORM,11/11/2022,11/25/2022,,8/23/2026
17_2_3,NORM,11/25/2022,12/9/2022,,8/23/2026
17_4_1,NORM,12/9/2022,12/22/2022,,8/23/2026
17_4_2,NORM,12/9/2022,12/23/2022,,8/23/2026
17_4_3,NORM,12/23/2022,1/6/2023,,8/23/2026
18_1_1,NORM,12/28/2022,1/10/2023,,8/23/2026
18_1_2,NORM,1/6/2023,1/20/2023,,8/23/2026
19_1_1,LIMITED,1/14/2023,1/27/2023,,8/23/2026
19_1_2,NORM,1/20/2023,2/3/2023,,8/23/2026
19_1_3,NORM,2/3/2023,2/17/2023,,8/23/2026
19_2_1,NORM,2/4/2023,2/17/2023,,8/23/2026
19_2_2,NORM,2/17/2023,3/3/2023,,8/23/2026
19_3_1,NORM,3/3/2023,3/17/2023,,8/23/2026
20_1_1,NORM,3/15/2023,3/28/2023,,8/23/2026
20_1_2,NORM,3/17/2023,3/31/2023,,8/23/2026
20_1_3,NORM,3/31/2023,4/14/2023,,8/23/2026
20_2_1,NORM,4/1/2023,4/14/2023,,8/23/2026
20_2_2,NORM,4/14/2023,4/28/2023,,8/23/2026
20_3_1,NORM,4/19/2023,5/2/2023,,8/23/2026
20_4_1,NORM,4/28/2023,5/11/2023,,8/23/2026
20_4_2,NORM,4/28/2023,5/12/2023,,8/23/2026
20_4_3,NORM,5/12/2023,5/26/2023,,8/23/2026
21_1_1,LIMITED,5/24/2023,6/6/2023,,8/23/2026
21_1_2,NORM,5/26/2023,6/9/2023,,8/23/2026
21_1_3,NORM,6/9/2023,6/23/2023,,8/23/2026
21_2_1,NORM,6/14/2023,6/27/2023,,8/23/2026
21_2_2,NORM,6/23/2023,7/7/2023,,8/23/2026
21_3_1,NORM,6/24/2023,7/7/2023,,8/23/2026
21_3_2,NORM,7/7/2023,7/21/2023,,8/23/2026
22_1_1,NORM,7/14/2023,7/27/2023,,8/23/2026
22_1_2,ATTAIN,7/14/2023,7/28/2023,,8/23/2026
22_1_3,NORM,7/21/2023,8/4/2023,,8/23/2026
22_2_1,LIMITED,7/29/2023,8/11/2023,,8/23/2026
22_2_2,NORM,8/4/2023,8/18/2023,,8/23/2026
22_2_3,NORM,8/18/2023,9/1/2023,,8/23/2026
22_3_1,NORM,8/23/2023,9/5/2023,,8/23/2026
22_3_2,NORM,9/1/2023,9/15/2023,,8/23/2026
23_1_1,LINKAGE,9/8/2023,9/21/2023,,8/23/2026
23_1_2,NORM,9/15/2023,9/29/2023,,8/23/2026
23_2_1,NORM,9/22/2023,10/5/2023,,8/23/2026
23_2_2,NORM,9/29/2023,10/13/2023,,8/23/2026
23_2_3,NORM,10/2/2023,10/15/2023,,8/23/2026
23_2_4,NORM,10/10/2023,10/24/2023,,8/23/2026
23_2_5,NORM,10/13/2023,10/27/2023,,8/23/2026
24_0_1,SINGLE,10/25/2023,11/7/2023,,8/23/2026
24_0_1,CLASSIC,10/25/2023,11/7/2023,,8/23/2026
24_0_2,NORM,10/27/2023,11/10/2023,,8/23/2026
24_0_2,CLASSIC,11/7/2023,11/21/2023,,8/23/2026
24_0_3,LIMITED,11/8/2023,11/21/2023,,8/23/2026
24_0_3,CLASSIC,11/21/2023,12/5/2023,,8/23/2026
24_0_4,NORM,11/10/2023,11/24/2023,,8/23/2026
24_0_4,FESCLASSIC,12/5/2023,12/19/2023,,8/23/2026
24_0_5,NORM,11/24/2023,12/8/2023,,8/23/2026
24_0_5,CLASSIC,12/19/2023,1/2/2024,,8/23/2026
24_0_6,NORM,12/6/2023,12/19/2023,,8/23/2026
24_0_7,NORM,12/8/2023,12/22/2023,,8/23/2026
25_0_1,SINGLE,12/22/2023,1/4/2024,,8/23/2026
25_0_1,CLASSIC,1/2/2024,1/16/2024,,8/23/2026
25_0_2,NORM,12/22/2023,1/5/2024,,8/23/2026
25_0_2,CLASSIC,1/16/2024,1/30/2024,,8/23/2026
25_0_3,SINGLE,1/6/2024,1/19/2024,,8/23/2026
25_0_3,CLASSIC,1/30/2024,2/13/2024,,8/23/2026
25_0_4,NORM,1/5/2024,1/19/2024,,8/23/2026
25_0_4,FESCLASSIC,2/13/2024,2/27/2024,,8/23/2026
25_0_5,LIMITED,1/17/2024,1/30/2024,,8/23/2026
25_0_5,CLASSIC,2/27/2024,3/12/2024,,8/23/2026
25_0_6,NORM,1/19/2024,2/2/2024,,8/23/2026
25_0_7,NORM,2/2/2024,2/16/2024,,8/23/2026
25_0_8,NORM,2/13/2024,2/26/2024,,8/23/2026
25_0_9,NORM,2/16/2024,3/1/2024,,8/23/2026
26_0_1,SINGLE,2/28/2024,3/12/2024,,8/23/2026
26_0_1,CLASSIC,3/12/2024,3/26/2024,,8/23/2026
26_0_2,NORM,3/1/2024,3/15/2024,,8/23/2026
26_0_2,CLASSIC,3/26/2024,4/9/2024,,8/23/2026
26_0_3,SINGLE,3/6/2024,3/19/2024,,8/23/2026
26_0_3,CLASSIC,4/9/2024,4/23/2024,,8/23/2026
26_0_4,NORM,3/15/2024,3/29/2024,,8/23/2026
26_0_5,SINGLE,3/20/2024,4/2/2024,,8/23/2026
26_0_6,NORM,3/29/2024,4/12/2024,,8/23/2026
26_0_7,NORM,4/2/2024,4/16/2024,,8/23/2026
26_0_8,NORM,4/12/2024,4/26/2024,,8/23/2026
27_0_1,SINGLE,4/17/2024,4/30/2024,,8/23/2026
27_0_1,CLASSIC,4/23/2024,5/7/2024,,8/23/2026
27_0_2,NORM,4/26/2024,5/10/2024,,8/23/2026
27_0_2,CLASSIC,5/7/2024,5/21/2024,,8/23/2026
27_0_3,LIMITED,5/1/2024,5/14/2024,,8/23/2026
27_0_3,FESCLASSIC,5/21/2024,6/4/2024,,8/23/2026
27_0_4,NORM,5/10/2024,5/24/2024,,8/23/2026
27_0_4,CLASSIC,6/4/2024,6/18/2024,,8/23/2026
27_0_5,NORM,5/24/2024,6/7/2024,,8/23/2026
27_0_5,CLASSIC,6/18/2024,7/2/2024,,8/23/2026
27_0_6,NORM,6/6/2024,6/19/2024,,8/23/2026
27_0_7,NORM,6/7/2024,6/21/2024,,8/23/2026
27_0_8,NORM,6/21/2024,7/5/2024,,8/23/2026
28_0_1,SINGLE,6/22/2024,7/5/2024,,8/23/2026
28_0_1,CLASSIC_ATTAIN,7/2/2024,7/16/2024,,8/23/2026
28_0_2,ATTAIN,7/2/2024,7/16/2024,,8/23/2026
28_0_2,CLASSIC,7/16/2024,7/30/2024,,8/23/2026
28_0_3,NORM,7/5/2024,7/19/2024,,8/23/2026
28_0_3,CLASSIC,7/30/2024,8/13/2024,,8/23/2026
28_0_4,SINGLE,7/10/2024,7/23/2024,,8/23/2026
28_0_5,NORM,7/19/2024,8/2/2024,,8/23/2026
29_0_1,LIMITED,8/1/2024,8/14/2024,,8/23/2026
29_0_1,CLASSIC,8/13/2024,8/27/2024,,8/23/2026
29_0_2,NORM,8/2/2024,8/16/2024,,8/23/2026
29_0_2,CLASSIC,8/27/2024,9/10/2024,,8/23/2026
29_0_3,NORM,8/15/2024,8/28/2024,,8/23/2026
29_0_3,FESCLASSIC,9/10/2024,9/24/2024,,8/23/2026
29_0_4,NORM,8/16/2024,8/30/2024,,8/23/2026
29_0_4,CLASSIC,9/24/2024,10/8/2024,,8/23/2026
29_0_5,SINGLE,8/22/2024,9/4/2024,,8/23/2026
29_0_5,CLASSIC,10/8/2024,10/22/2024,,8/23/2026
29_0_6,NORM,8/30/2024,9/13/2024,,8/23/2026
29_0_7,LINKAGE,9/6/2024,9/19/2024,,8/23/2026
29_0_8,NORM,9/13/2024,9/27/2024,,8/23/2026
29_0_9,LINKAGE,9/20/2024,10/3/2024,,8/23/2026
29_0_10,NORM,9/27/2024,10/11/2024,,8/23/2026
29_0_11,NORM,9/27/2024,10/10/2024,,8/23/2026
30_0_1,SINGLE,10/11/2024,10/24/2024,,8/23/2026
30_0_1,CLASSIC,10/22/2024,11/5/2024,,8/23/2026
30_0_2,NORM,10/11/2024,10/25/2024,,8/23/2026
30_0_2,FESCLASSIC,11/5/2024,11/19/2024,,8/23/2026
30_0_3,NORM,10/18/2024,11/1/2024,,8/23/2026
30_0_3,CLASSIC,11/19/2024,12/3/2024,,8/23/2026
30_0_4,NORM,10/25/2024,11/8/2024,,8/23/2026
30_0_4,CLASSIC,12/3/2024,12/17/2024,,8/23/2026
30_0_5,LIMITED,11/1/2024,11/14/2024,,8/23/2026
30_0_6,NORM,11/8/2024,11/22/2024,,8/23/2026
30_0_7,NORM,11/15/2024,11/28/2024,,8/23/2026
30_0_8,NORM,11/22/2024,12/6/2024,,8/23/2026
31_0_1,SINGLE,12/4/2024,12/17/2024,,8/23/2026
31_0_1,CLASSIC,12/17/2024,12/31/2024,,8/23/2026
31_0_2,NORM,12/6/2024,12/20/2024,,8/23/2026
31_0_2,CLASSIC,12/31/2024,1/14/2025,,8/23/2026
31_0_3,NORM,12/20/2024,1/3/2025,,8/23/2026
31_0_3,CLASSIC,1/14/2025,1/28/2025,,8/23/2026
31_0_4,SINGLE,12/25/2024,1/7/2025,,8/23/2026
31_0_4,CLASSIC,1/28/2025,2/11/2025,,8/23/2026
31_0_5,NORM,1/3/2025,1/17/2025,,8/23/2026
31_0_6,LIMITED,1/17/2025,1/30/2025,,8/23/2026
31_0_7,NORM,1/17/2025,1/31/2025,,8/23/2026
31_0_8,NORM,1/31/2025,2/14/2025,,8/23/2026
32_0_1,SINGLE,2/8/2025,2/21/2025,,8/23/2026
32_0_1,CLASSIC,2/11/2025,2/25/2025,,8/23/2026
32_0_2,NORM,2/14/2025,2/28/2025,,8/23/2026
32_0_2,FESCLASSIC,2/25/2025,3/11/2025,,8/23/2026
32_0_3,NORM,2/15/2025,2/28/2025,,8/23/2026
32_0_3,CLASSIC,3/11/2025,3/25/2025,,8/23/2026
32_0_4,NORM,2/28/2025,3/14/2025,,8/23/2026
32_0_4,CLASSIC,3/25/2025,4/8/2025,,8/23/2026
32_0_5,SINGLE,3/1/2025,3/14/2025,,8/23/2026
32_0_5,CLASSIC,4/8/2025,4/22/2025,,8/23/2026
32_0_6,LINKAGE,3/11/2025,3/24/2025,,8/23/2026
32_0_7,NORM,3/14/2025,3/28/2025,,8/23/2026
32_0_8,SPECIAL,3/26/2025,4/8/2025,,8/23/2026
32_0_9,NORM,3/28/2025,4/11/2025,,8/23/2026
33_0_1,SINGLE,4/9/2025,4/22/2025,,8/23/2026
33_0_1,CLASSIC,4/22/2025,5/6/2025,,8/23/2026
33_0_2,NORM,4/11/2025,4/25/2025,,8/23/2026
33_0_2,FESCLASSIC,5/6/2025,5/20/2025,,8/23/2026
33_0_3,LIMITED,4/25/2025,5/8/2025,,8/23/2026
33_0_3,CLASSIC,5/20/2025,6/3/2025,,8/23/2026
33_0_4,NORM,4/25/2025,5/9/2025,,8/23/2026
33_0_4,CLASSIC,6/3/2025,6/17/2025,,8/23/2026
33_0_5,NORM,5/9/2025,5/22/2025,,8/23/2026
33_0_6,NORM,5/9/2025,5/23/2025,,8/23/2026
33_0_7,NORM,5/23/2025,6/6/2025,,8/23/2026
34_0_1,SINGLE,6/6/2025,6/19/2025,,8/23/2026
34_0_1,CLASSIC,6/17/2025,7/1/2025,,8/23/2026
34_0_2,NORM,6/6/2025,6/20/2025,,8/23/2026
34_0_2,CLASSIC_ATTAIN,7/1/2025,7/15/2025,,8/23/2026
34_0_3,NORM,6/20/2025,7/4/2025,,8/23/2026
34_0_3,CLASSIC,7/15/2025,7/29/2025,,8/23/2026
34_0_4,SINGLE,6/21/2025,7/4/2025,,8/23/2026
34_0_4,FESCLASSIC,7/29/2025,8/12/2025,,8/23/2026
34_0_5,ATTAIN,7/1/2025,7/15/2025,,8/23/2026
34_0_5,CLASSIC,8/12/2025,8/26/2025,,8/23/2026
34_0_6,NORM,7/4/2025,7/18/2025,,8/23/2026
34_0_6,CLASSIC,8/26/2025,9/9/2025,,8/23/2026
34_0_7,LIMITED,7/18/2025,7/31/2025,,8/23/2026
34_0_8,NORM,7/18/2025,8/1/2025,,8/23/2026
34_0_9,NORM,8/1/2025,8/15/2025,,8/23/2026
34_0_10,SINGLE,8/8/2025,8/21/2025,,8/23/2026
34_0_11,NORM,8/15/2025,8/28/2025,,8/23/2026
34_0_12,NORM,8/15/2025,8/29/2025,,8/23/2026
35_0_1,SINGLE,8/29/2025,9/11/2025,,8/23/2026
35_0_1,CLASSIC_DOUBLE,9/9/2025,9/23/2025,,8/23/2026
35_0_2,DOUBLE,8/29/2025,9/12/2025,,8/23/2026
35_0_2,CLASSIC_DOUBLE,9/23/2025,10/7/2025,,8/23/2026
35_0_3,CLASSIC_DOUBLE,10/7/2025,10/21/2025,,8/23/2026
35_0_3,SPECIAL,9/5/2025,9/18/2025,,8/23/2026
35_0_4,DOUBLE,9/12/2025,9/26/2025,,8/23/2026
35_0_5,SINGLE,9/17/2025,9/30/2025,,8/23/2026
35_0_6,DOUBLE,9/26/2025,10/10/2025,,8/23/2026
35_0_7,SINGLE,10/1/2025,10/14/2025,,8/23/2026
35_0_8,DOUBLE,10/10/2025,10/24/2025,,8/23/2026
36_0_1,LIMITED,10/15/2025,10/28/2025,,8/23/2026
36_0_1,FESCLASSIC,10/21/2025,11/4/2025,,8/23/2026
36_0_2,DOUBLE,10/24/2025,11/7/2025,,8/23/2026
36_0_2,CLASSIC_DOUBLE,11/4/2025,11/18/2025,,8/23/2026
36_0_3,CLASSIC_DOUBLE,11/18/2025,12/2/2025,,8/23/2026
36_0_3,SPECIAL,10/31/2025,11/13/2025,,8/23/2026
36_0_4,DOUBLE,11/7/2025,11/21/2025,,8/23/2026
36_0_4,CLASSIC_DOUBLE,12/2/2025,12/16/2025,,8/23/2026
36_0_5,SINGLE,11/14/2025,11/27/2025,,8/23/2026
36_0_6,DOUBLE,11/21/2025,12/5/2025,,8/23/2026
36_0_7,SINGLE,11/28/2025,12/11/2025,,8/23/2026
36_0_8,DOUBLE,12/5/2025,12/19/2025,,8/23/2026
37_0_1,SINGLE,12/12/2025,12/25/2025,,8/23/2026
37_0_1,CLASSIC_DOUBLE,12/16/2025,12/30/2025,,8/23/2026
37_0_2,DOUBLE,12/19/2025,1/2/2026,,8/23/2026
37_0_2,CLASSIC_DOUBLE,12/30/2025,1/13/2026,,8/23/2026
37_0_3,DOUBLE,1/2/2026,1/16/2026,,8/23/2026
37_0_3,CLASSIC_DOUBLE,1/13/2026,1/27/2026,,8/23/2026
37_0_4,DOUBLE,1/16/2026,1/30/2026,,8/23/2026
37_0_4,FESCLASSIC,1/27/2026,2/10/2026,,8/23/2026
37_0_5,LIMITED,1/17/2026,1/30/2026,,8/23/2026
37_0_5,CLASSIC_DOUBLE,2/10/2026,2/24/2026,,8/23/2026
37_0_6,NORM,1/24/2026,2/6/2026,,8/23/2026
37_0_7,DOUBLE,1/30/2026,2/13/2026,,8/23/2026
38_0_1,LINKAGE,2/11/2026,2/24/2026,,8/23/2026
38_0_1,CLASSIC_DOUBLE,2/24/2026,3/10/2026,,8/23/2026
38_0_2,DOUBLE,2/13/2026,2/27/2026,,8/23/2026
38_0_2,CLASSIC_DOUBLE,3/10/2026,3/24/2026,,8/23/2026
38_0_3,SINGLE,2/25/2026,3/10/2026,,8/23/2026
38_0_3,CLASSIC_DOUBLE,3/24/2026,4/7/2026,,8/23/2026
38_0_4,DOUBLE,2/27/2026,3/13/2026,,8/23/2026
38_0_4,CLASSIC_DOUBLE,4/7/2026,4/21/2026,,8/23/2026
38_0_5,SPECIAL,3/7/2026,3/20/2026,,8/23/2026
38_0_6,DOUBLE,3/13/2026,3/27/2026,,8/23/2026
38_0_7,SINGLE,3/20/2026,4/2/2026,,8/23/2026
38_0_8,DOUBLE,3/27/2026,4/10/2026,,8/23/2026
38_0_9,NORM,4/2/2026,4/15/2026,,8/23/2026
38_0_10,DOUBLE,4/10/2026,4/24/2026,,8/23/2026
39_0_1,LIMITED,4/15/2026,4/28/2026,,8/23/2026
39_0_1,FESCLASSIC,4/21/2026,5/5/2026,,8/23/2026
39_0_2,DOUBLE,4/24/2026,5/8/2026,,8/23/2026
39_0_2,CLASSIC_DOUBLE,5/5/2026,5/19/2026,,8/23/2026
39_0_3,CLASSIC_DOUBLE,5/19/2026,6/2/2026,,8/23/2026
39_0_3,SPECIAL,4/29/2026,5/12/2026,,8/23/2026
39_0_4,DOUBLE,5/8/2026,5/22/2026,,8/23/2026
39_0_4,CLASSIC_DOUBLE,6/2/2026,6/16/2026,,8/23/2026
39_0_5,SINGLE,5/22/2026,6/4/2026,,8/23/2026
39_0_5,CLASSIC_DOUBLE,6/16/2026,6/30/2026,,8/23/2026
39_0_6,DOUBLE,5/22/2026,6/5/2026,,8/23/2026
39_0_7,DOUBLE,6/5/2026,6/19/2026,,8/23/2026
39_0_8,SINGLE,6/6/2026,6/19/2026,,8/23/2026
39_0_9,DOUBLE,6/19/2026,7/3/2026,,8/23/2026
40_0_1,SINGLE,6/23/2026,7/6/2026,,8/23/2026
40_0_1,CLASSIC_ATTAIN,6/30/2026,7/14/2026,,8/23/2026
40_0_2,ATTAIN,7/3/2026,7/17/2026,,8/23/2026
40_0_2,CLASSIC_DOUBLE,7/14/2026,7/28/2026,,8/23/2026
40_0_3,DOUBLE,7/3/2026,7/17/2026,,8/23/2026
40_0_3,FESCLASSIC,7/28/2026,8/11/2026,,8/23/2026
40_0_4,LIMITED,7/17/2026,7/30/2026,,8/23/2026
40_0_4,CLASSIC_DOUBLE,8/11/2026,8/25/2026,,8/23/2026
40_0_5,DOUBLE,7/17/2026,7/31/2026,,8/23/2026
40_0_6,SPECIAL,7/31/2026,8/13/2026,,8/23/2026
40_0_7,DOUBLE,7/31/2026,8/14/2026,,8/23/2026
41_0_1,SINGLE,8/14/2026,8/27/2026,NEW,8/23/2026
41_0_1,CLASSIC_DOUBLE,8/25/2026,9/8/2026,NEW,8/23/2026
41_0_1,RETURN,8/14/2026,10/14/2030,NEW,8/23/2026
41_0_2,DOUBLE,8/14/2026,8/28/2026,NEW,8/23/2026
41_0_3,NORM,8/21/2026,9/3/2026,NEW,8/23/2026
41_0_4,SINGLE,8/28/2026,9/10/2026,NEW,8/23/2026
41_0_5,DOUBLE,8/28/2026,9/11/2026,NEW,8/23/2026
41_0_2,CLASSIC_DOUBLE,9/8/2026,9/22/2026,NEW,9/2/2026
41_0_6,DOUBLE,9/11/2026,9/25/2026,NEW,9/2/2026
